voted_up,review,playtime_forever
True,"amazing game, still a bit buggy as of 2026, but that's part of it's charm. i wouldn't want it any other way, plus the fact that it's moddable makes the bugs worth it!",47.28333333333333
True,lotsa story however not amazingly optimized for oldish hardware,36.9
True,"HOLY FK TS SO PEAK 
67HRS INTO THE GAME WORTH THE MONEY EVEN ON 720P40FPS WITH FG ON
DONT THINK JUST BUY",67.11666666666666
True,great comeback,2.316666666666667
True,"anyone who doesnt play this game is a corpo gonk, while people who do play it are chooms of mine. 
Alright this game was great and a fun experience, the gameplay was incredible compared to other story games which often felt slow while this allowed me to play at a much faster pace and kind of run in there which i loved in comparison to sitting behind cover. The story is incredible and was very intriguing to me, characters were all great. But one of my personal favourites is the songs featured in this game, ""Never fade away"" is a masterpiece in my eyes.
However i do wish the bosses were more difficult, especially adam smasher especially when you watch the anime beforehand, he felt very underwhelming and weak.",79.13333333333334
True,"It's a pretty great game, and came a far way from the buggy mess of launch. It's certainly a favorite of mine. I would say though, once you finish the story, the mod support of the game will keep you going for sure.",105.31666666666666
True,"This game really makes an impact, its a game i would play if i forgot everything. Playing this story for the first time was very fun. Heavily recommend.",109.86666666666666
True,punkcyber,35.63333333333333
True,"Fun game if you have the specs for it. It runs smoothly for me, so it’s really fun. There aren’t as many bugs as I thought there would be, but that doesn’t mean there aren’t any.",13.016666666666667
True,"Sorry, wish we could go to the moon together.",39.03333333333333
True,i came,91.08333333333333
True,meh,172.21666666666667
True,"Really enjoying this game. Give it a try, chooms.",51.1
True,"It's been a while since I've played this game, but I figured I'd finally leave a review for it since one's been pending for a while.

This game was honestly always a good game. It may have had a rough start due to bugs and performance issues, but the core storyline and gameplay, as well as the more interesting questlines you can follow, were always there. Then with all the QoL changes and the complete overhaul they did to the perk system, it became much more refined and enjoyable to play since you now had a variety of builds and perks you could experiment with. 

I think one of my favorite things about the game was the story and characters. Every character has an interesting and expressive personality, including your own as expressed through the voice acting (I personally prefer Male V's voice direction). Everyone feels fleshed out and like they actually have a growing relationship to you the more you interact with them. The main story itself feels very personal and high stakes, though some of that is admittedly ruined by the open world nature of the game since you can just dally along however long you want. As the meme goes, ""Anything but meeting Hanako at Embers"" lol. Even so, I think it manages to portray a nice drama about the meaningfulness of life, self-determination, and even hope in a world that seems determined to grind you down.

The environment is effective in portraying just how degenerate and trashy (literally, even) Night City really is, which helps in creating this sense of ""contamination"" and a desire to separate yourself and rise above it. 

Also, the music. The music in this game kicks ass, and I still listen to some of my favorite tracks on my Spotify every so often.

I'd say my only real complaint with the game is the lack of being able to clearly show yourself as cybernetically enhanced, such as by having clearly mechanical limbs or metallic embellishments like a Kano-style red eye. I was also never too fond of any of the romance options, but it was nice that I never felt forced to pursue any of them from what I can remember.",494.8666666666667
True,"fantastic game, love her to bits",247.9
True,NICE,120.73333333333333
True,"PEAK
would recommend for everyone (RIP SONGBIRD MY BELOVED)

also Adam smasher may be my favourite villain of all time",208.3
True,you havent played this yet?,1646.6166666666666
True,Great game had a lot of fun just destroying enemies and playing though the story,149.56666666666666
True,It only had to take him being a construct overwriting my brain for Keanu Reeves to convince me he is a real person,148.73333333333332
True,I recommend this game to other players!,16.016666666666666
True,Wazzup chooms,314.25
False,"this game crashes, when you want to load in, fix it please.",21.25
True,not bad,61.583333333333336
True,If you a Mac owner and like strong story driven RPGs then you really should get this.  A great game and a best in class Mac version.,14.0
True,such a visual packed game. I love the story so far too. I would recommend this to friends :),120.95
True,good,43.43333333333333
True,♥♥♥♥ you pc still runs like ♥♥♥♥,2.3666666666666667
True,i Hate every ending,73.75
